Store Name,City,County,State,Latitude,Longitude,Place Classification,Place Population,Place Store Count,"Place Stores per 10,000",Place Poverty Rate %,Place Poverty Count,County Total Population (ACS 2023),County Total Stores in County,"County Stores per 10,000",Adjusted County Density (excl. Place),Place Density > Adjusted County Density,County Poverty Rate %,County Poverty Count (ACS 2023),Place Density > County Density,Is Rural Store,Place Urban Population Share
Dollar General,Shallotte,Brunswick,NC,33.968,-78.39,"Rural (< 5,000)",4365,4,9.4,0.099,431.0,144672,22,1.52,1.28,Yes,0.0937983853129839,13570,Yes,Yes,0.000239
Dollar General,Shallotte,Brunswick,NC,33.979,-78.371,"Rural (< 5,000)",4365,4,9.4,0.099,431.0,144672,22,1.52,1.28,Yes,0.0937983853129839,13570,Yes,Yes,0.000239
Dollar General,Rowland,Robeson,NC,34.539,-79.29,"Rural (< 5,000)",949,1,9.54,0.333,316.0,113440,28,2.47,2.4,Yes,0.28774682651622,32642,Yes,Yes,0.000000
Dollar General,Columbus,Polk,NC,35.243,-82.208,"Rural (< 5,000)",1111,1,9.55,0.152,169.0,19354,6,3.1,2.74,Yes,0.136560917639764,2643,Yes,Yes,0.000000
Dollar General,Highlands,Macon,NC,35.087,-83.175,"Rural (< 5,000)",1254,1,9.76,0.128,161.0,37071,8,2.16,1.95,Yes,0.143966982277252,5337,Yes,Yes,0.000000
Dollar General,Whiteville,Columbus,NC,34.203,-78.762,"Rural (< 5,000)",4482,5,9.92,0.162,728.0,47923,17,3.55,2.76,Yes,0.187926465371534,9006,Yes,Yes,0.951951
Dollar General,Whiteville,Columbus,NC,34.313,-78.713,"Rural (< 5,000)",4482,5,9.92,0.162,728.0,47923,17,3.55,2.76,Yes,0.187926465371534,9006,Yes,Yes,0.951951
Dollar General,Whiteville,Columbus,NC,34.238,-78.675,"Rural (< 5,000)",4482,5,9.92,0.162,728.0,47923,17,3.55,2.76,Yes,0.187926465371534,9006,Yes,Yes,0.951951
Dollar General,Whiteville,Columbus,NC,34.168,-78.597,"Rural (< 5,000)",4482,5,9.92,0.162,728.0,47923,17,3.55,2.76,Yes,0.187926465371534,9006,Yes,Yes,0.951951
Dollar General,Whiteville,Columbus,NC,34.371,-78.716,"Rural (< 5,000)",4482,5,9.92,0.162,728.0,47923,17,3.55,2.76,Yes,0.187926465371534,9006,Yes,Yes,0.951951
Dollar General,Youngsville,Franklin,NC,36.023,-78.461,"Rural (< 5,000)",2581,2,9.94,0.126,326.0,70540,10,1.42,1.18,Yes,0.100907286645875,7118,Yes,Yes,0.984127
Dollar General,Youngsville,Franklin,NC,35.983,-78.383,"Rural (< 5,000)",2581,2,9.94,0.126,326.0,70540,10,1.42,1.18,Yes,0.100907286645875,7118,Yes,Yes,0.984127
Dollar General,Lillington,Harnett,NC,35.389,-78.821,"Rural (< 5,000)",3497,5,9.95,0.063,220.0,133246,11,0.83,0.46,Yes,0.145355207661018,19368,Yes,Yes,0.576980
Dollar General,Lillington,Harnett,NC,35.346,-78.938,"Rural (< 5,000)",3497,5,9.95,0.063,220.0,133246,11,0.83,0.46,Yes,0.145355207661018,19368,Yes,Yes,0.576980
Dollar General,Lillington,Harnett,NC,35.391,-78.727,"Rural (< 5,000)",3497,5,9.95,0.063,220.0,133246,11,0.83,0.46,Yes,0.145355207661018,19368,Yes,Yes,0.576980
Dollar General,Lillington,Harnett,NC,35.419,-78.936,"Rural (< 5,000)",3497,5,9.95,0.063,220.0,133246,11,0.83,0.46,Yes,0.145355207661018,19368,Yes,Yes,0.576980
Dollar General,Lillington,Harnett,NC,35.42,-78.806,"Rural (< 5,000)",3497,5,9.95,0.063,220.0,133246,11,0.83,0.46,Yes,0.145355207661018,19368,Yes,Yes,0.576980
Dollar General,Peletier,Carteret,NC,34.714,-77.067,"Rural (< 5,000)",779,1,10.0,0.145,113.0,67511,15,2.22,2.1,Yes,0.100442890788168,6781,Yes,Yes,0.505852
Dollar General,Yadkinville,Yadkin,NC,36.133,-80.659,"Rural (< 5,000)",2656,3,10.17,0.23,611.0,37017,9,2.43,1.75,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Yadkinville,Yadkin,NC,36.121,-80.546,"Rural (< 5,000)",2656,3,10.17,0.23,611.0,37017,9,2.43,1.75,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Yadkinville,Yadkin,NC,36.086,-80.652,"Rural (< 5,000)",2656,3,10.17,0.23,611.0,37017,9,2.43,1.75,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Mount Airy,Surry,NC,36.45,-80.65,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.475,-80.618,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.504,-80.678,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.553,-80.654,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.485,-80.589,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.507,-80.626,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.529,-80.589,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.504,-80.606,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.462,-80.558,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.512,-80.568,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Mount Airy,Surry,NC,36.474,-80.774,"Urban (5,000+)",10339,11,10.42,0.271,2805.0,70238,19,2.71,1.34,Yes,0.166918192431447,11724,Yes,No,0.982671
Dollar General,Sylva,Jackson,NC,35.406,-83.159,"Rural (< 5,000)",2496,3,10.49,0.266,665.0,39227,6,1.53,0.82,Yes,0.193106788691463,7575,Yes,Yes,0.980993
Dollar General,Sylva,Jackson,NC,35.3,-83.263,"Rural (< 5,000)",2496,3,10.49,0.266,665.0,39227,6,1.53,0.82,Yes,0.193106788691463,7575,Yes,Yes,0.980993
